Player,Country,Position,Match played,Goals,Right foot goals,Left foot goals,Header goals,Assists,Total attempts,On target,Off target,Woodwork,Shot blocks,Avg gpg,Fouls suffered,Fouls committed,Top speed,Passing accuracy,Distance covered,Clearence attempted,Balls recovered,Tackels,Blocks,Yellow cards,Red cards,Minutes played
Cristiano Ronaldo,Portugal,F,4,5,3,2,0,1,16,8,5,0,3,1.25,9,0,29.7,86,36.1,2,2,1,,0,0,360
Patrik Schick,Czech Republic,F,5,5,1,3,1,0,16,9,5,0,2,1,2,5,32.4,71,43.6,4,6,3,,0,0,404
Karim Benzema,France,F,4,4,2,2,1,0,11,5,3,0,3,1,0,0,29.5,87,37.1,1,4,0,,0,0,349
Emil Forsberg,Sweden,M,4,4,2,2,0,0,14,4,7,2,3,1,,5,29,79,41.4,,7,,,1,0,371
Romelu Lukaku,Belgium,F,5,4,2,2,0,0,13,6,2,0,5,0.8,3,6,31.3,69,40.9,2,3,0,,0,0,444
Harry Kane,England,F,7,4,2,0,2,0,15,8,6,0,1,0.58,14,5,30.8,72,74.3,5,4,3,,0,0,649
Xherdan Shaqiri,Switzerland,M,5,3,2,1,0,1,12,5,4,0,3,0.6,3,5,29.5,81,42.3,,5,,,0,0,371
Raheem Sterling,England,F,7,3,2,0,1,1,14,7,4,1,3,0.43,12,8,33.1,84,68.3,1,14,0,,0,0,641
Kasper Dolberg,Denmark,F,4,4,3,0,0,0,7,5,1,0,1,0.75,6,6,30.6,70,24.7,2,1,0,,0,0,225
Robert Lewandowski,Poland,F,3,3,1,1,1,0,12,4,4,2,4,1,3,5,31.3,66,29.7,2,2,2,,1,0,270
GeorginioWijnaldom,Netherlands,M,4,3,1,2,0,0,10,4,2,0,4,0.75,6,4,31.3,85,41.2,1,17,2,,0,0,360
Alvaro Morata,Spain,F,6,3,1,2,0,0,16,9,4,0,3,0.5,16,8,31,79,52.9,,,,,0,0,452
Haris Seferovic,SwitzerlandF,,5,3,0,1,2,0,13,5,4,0,4,0.6,3,8,32.4,75,41.3,,,,,0,0,382
Lorenzo Insigne,Italy,F,6,2,2,0,0,0,19,7,9,0,3,0.33,3,1,30.8,81,61.4,2,5,2,,1,0,512
Andriy Yarmolenko,Ukraine,F,5,2,1,1,0,2,10,5,4,0,1,0.4,7,5,30.4,77,52.4,,,,,1,0,445
Ciro Immobile,Italy,F,6,2,2,0,0,1,18,3,9,1,6,0.33,3,6,31.7,79,54.4,2,4,1,,0,0,444
Federico Chiesa,Italy,M,7,2,1,1,0,0,17,6,6,0,5,0.29,3,5,33.1,80,47.8,2,4,2,,0,0,438
Ferran Torres,Spain,M,6,2,,,,1,8,,,,,0.33,,3,30.8,83,39.5,,9,2,,,,366
Thorgan Hazard,Belgium,M,4,2,1,1,0,0,4,0,0,0,1,0.5,2,11,30.4,86,44.5,5,19,9,,1,0,358
Mikkel Damsgaard,Denmark,F,5,2,2,0,0,1,9,4,3,0,2,0.4,6,4,31.5,78,38.9,1,14,7,,1,0,330
Memphis Depay,Netherlands,F,4,2,1,1,0,2,12,4,4,0,4,0.5,8,3,30.8,72,35,,,,,0,0,327
Steven Zuber,Switzerland,M,4,0,0,0,0,4,6,,,,,0,,2,32,75,32.7,,3,5,,,,286
Pierre-Emile Hojbjerg,Denmark,M,6,0,0,0,0,3,9,4,2,0,3,0,4,3,30.4,84,64.1,7,36,2,,0,0,570
Luke Shaw,England,D,6,1,0,1,0,3,3,1,2,0,0,0.16,4,10,31,83,62.7,8,21,9,1,0,0,575
Dani Olmo,Spain,M,5,0,0,0,0,3,20,7,7,1,6,0,13,9,28.6,77,42.6,,6,1,,0,0,379
Marco Veratti,Italy,M,5,0,0,0,0,3,4,2,1,1,1,0,11,8,27.4,93,49.9,1,32,30,,1,0,400
Jordi Alba,Spain,D,6,0,0,0,0,2,2,1,0,0,1,0,5,7,31.5,86,64.2,7,33,4,0,1,0,553
John Stones,England,D,7,0,0,0,0,0,5,0,5,1,0,0,3,2,29.7,94,67.3,17,33,3,8,0,0,679
Kalvin Phillips,England,M,7,0,0,0,0,1,4,1,3,0,0,0,4,12,30.2,87,83,10,32,13,,1,0,665
Harry Maguire,England,D,5,1,0,0,1,0,8,4,4,0,0,0.2,8,3,30.6,92,51.5,29,34,6,4,3,0,510
Mason Mount,England,M,5,0,0,0,0,1,7,7,7,0,3,0,8,5,31.5,85,50.4,1,11,2,,0,0,464
Kylian Mbappe,France,F,4,0,0,0,0,1,14,3,9,0,2,0,4,2,32.2,78,35.4,0,4,0,,0,0,390
Raphael Varane,France,D,4,0,0,0,0,0,2,0,2,0,0,0,3,2,32.6,94,40.8,18,23,4,2,1,0,390
Ngolo Kante,France,M,4,0,0,0,0,0,1,0,1,0,0,0,1,8,28.8,93,46.2,2,25,10,,0,0,390
Paul Pogba,France,M,4,1,1,0,0,1,8,2,5,1,1,0.25,11,7,29.5,86,41.8,4,11,7,,0,0,376
Joshua  Kimich,Germany,M,4,0,0,0,0,2,1,1,0,0,0,0,6,2,30.2,85,44.6,4,11,3,,1,0,360
Antonio Rudiger,Germany,D,4,0,0,0,0,0,3,1,2,0,0,0,1,3,31,96,35.6,10,17,3,0,0,0,360
Toni Kroos,Germany,M,4,0,0,0,0,0,4,0,2,0,2,0,7,6,26.8,90,41.2,1,24,10,,0,0,360
Matthias Ginter,Germany,D,4,0,0,0,0,0,1,1,0,0,0,0,2,4,30.8,90,35,9,22,8,2,2,0,347
Kai Havertz,Germany,F,4,2,1,0,1,0,11,5,2,0,4,0.5,5,9,29.9,83,37.2,1,7,4,,1,0,304
Joakim Maehle,Denmark,D,6,2,,,,,,,,,,0.33,,6,30.4,84,66.6,3,31,6,,,,570
